Name;NSta;NGroup;NRawSlotNum;TCPSegmentSize;IPCameraDataRate;DataMode;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate128Nsta10DataModeMCS2_4;10;1;1;1072;128;MCS2_4;0;1;10634.3;9723.3;21540.6
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate128Nsta10DataModeMCS2_8;10;1;1;1072;128;MCS2_8;0;1;14769.1;14402.5;27389.5
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate128Nsta15DataModeMCS2_8;15;1;1;1072;128;MCS2_8;0;1;10052.0666666667;8297.86666666667;18841.8666666667
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate128Nsta5DataModeMCS2_4;5;1;1;1072;128;MCS2_4;0;1;8238.4;8195;21148.8
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate128Nsta5DataModeMCS2_8;5;1;1;1072;128;MCS2_8;0;1;8088;8044.2;20995.6
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate16Nsta10DataModeMCS2_4;10;1;1;1072;16;MCS2_4;0;1;1357.4;1355.8;3494.8
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate16Nsta10DataModeMCS2_8;10;1;1;1072;16;MCS2_8;0;1;1530.7;1528.5;3667.4
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate16Nsta15DataModeMCS2_4;15;1;1;1072;16;MCS2_4;0;1;1650.73333333333;1648.93333333333;3789.8
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate16Nsta15DataModeMCS2_8;15;1;1;1072;16;MCS2_8;0;1;1684.4;1682.06666666667;3822.6
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate16Nsta5DataModeMCS2_4;5;1;1;1072;16;MCS2_4;0;1;1353.6;1352.2;3489.8
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate16Nsta5DataModeMCS2_8;5;1;1;1072;16;MCS2_8;0;1;1332.4;1332;3469.4
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate2Nsta10DataModeMCS2_4;10;1;1;1072;2;MCS2_4;0;1;142.3;142.3;407.3
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate2Nsta10DataModeMCS2_8;10;1;1;1072;2;MCS2_8;0;1;161.9;161.9;427
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate2Nsta15DataModeMCS2_4;15;1;1;1072;2;MCS2_4;0;1;160.933333333333;160.933333333333;425.933333333333
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate2Nsta15DataModeMCS2_8;15;1;1;1072;2;MCS2_8;0;1;165.2;165.2;430.2
NGroup1NRawSlotNum1TCPSegmentSize1072IpCameraDataRate2Nsta5DataModeMCS2_4;5;1;1;1072;2;MCS2_4;0;1;147.6;147.6;412.6
