Name;SensorMeasurementSize;NSta;NGroup;NRawSlotNum;TrafficInterval;APAlwaysSchedulesForNextSlot;ContentionPerRAWSlot;EDCAQueueLength;TCPConnected;TotalNumberOfDrops;NumberOfMACTxMissedACK;NumberOfTransmissions;NumberOfDroppedPackets;AveragePacketSentReceiveTime;DropTCPTxBufferExceeded;TotalDozeTime;NumberOfTCPRetransmissions;NumberOfTCPRetransmissionsFromAP;NumberOfAPScheduledPacketForNodeInNextSlot
SensorMeasurementSize54NGroup8NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;54;10;8;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;27.7,1,21,45.5,0,75;27.1,1,21,41.75,0,75;229.3,204,224,244.75,201,276;0,0,0,0,0,0;375.3,330,387.5,414.75,315,430;0,0,0,0,0,0;907683,904306.5,908236,910368.5,903053,912232;0,0,0,0,0,0;0,0,0,0,0,0;97.6,97,98,98,97,98
SensorMeasurementSize154NGroup16NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;154;10;16;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;39.1,1.5,31,73.75,1,93;38.9,1.5,30.5,73,1,93;241.3,204,235,275.5,203,294;0.1,0,0,0,0,1;764.8,738.5,750,753.5,727,851;0,0,0,0,0,0;937286.2,936331.5,937681,938873.75,933884,939207;0,0,0,0,0,0;0,0,0,0,0,0;97.6,97,98,98,97,98
SensorMeasurementSize54NGroup2NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;54;10;2;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;17.2,0.25,1,31,0,66;17.2,0.25,1,31,0,66;220,203.25,204,234,201,269;0,0,0,0,0,0;101,94.75,104.5,107.75,80,112;0,0,0,0,0,0;876120.5,874714,874955.5,875422.75,873351,882134;0,0,0,0,0,0;0,0,0,0,0,0;76.8,65.25,97.5,98,3,98
SensorMeasurementSize54NGroup4NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;54;10;4;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;25.8,0.25,13.5,56,0,68;25.8,0.25,13.5,56,0,68;228.2,203,215.5,259,201,271;0,0,0,0,0,0;185.4,151.25,208,209,127,215;0,0,0,0,0,0;894571.3,890405.5,894765.5,898445.25,889576,899954;0,0,0,0,0,0;0,0,0,0,0,0;97.7,97.25,98,98,97,98
SensorMeasurementSize154NGroup8NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;154;10;8;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;29.4,2.25,25.5,45.5,0,78;28.8,2.25,25.5,41.75,0,78;231,205.25,228.5,244.75,201,279;0,0,0,0,0,0;378.7,331.5,392.5,416.75,320,433;0,0,0,0,0,0;907761,904477.75,908333.5,910393,903150,912232;0,0,0,0,0,0;0,0,0,0,0,0;97.6,97,98,98,97,98
SensorMeasurementSize154NGroup4NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;154;10;4;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;26.4,0.25,13.5,56,0,71;26.4,0.25,13.5,56,0,71;228.8,203,215.5,259,201,274;0,0,0,0,0,0;187.5,154,209,211,128,216;0,0,0,0,0,0;894571.3,890405.5,894765.5,898445.25,889576,899954;0,0,0,0,0,0;0,0,0,0,0,0;97.7,97.25,98,98,97,98
SensorMeasurementSize154NGroup2NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;154;10;2;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;18,0.25,1,31,0,68;18,0.25,1,31,0,68;220.8,203.25,204,234,201,271;0,0,0,0,0,0;102.6,96.5,106,108.75,81,114;0,0,0,0,0,0;876120.5,874714,874955.5,875398.5,873351,882134;0,0,0,0,0,0;0,0,0,0,0,0;76.8,65.25,97.5,98,3,98
SensorMeasurementSize54NGroup12NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;54;10;12;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;48.4,27,46,63.25,0,100;48.4,27,46,63.25,0,100;251.8,228.5,249.5,266.25,203,306;0,0,0,0,0,0;586.8,541.75,605.5,625.5,511,635;0,0,0,0,0,0;932973.2,930074,934271,935820.5,927727,936800;0,0,0,0,0,0;0,0,0,0,0,0;97.7,97.25,98,98,97,98
SensorMeasurementSize54NGroup16NRawSlotNum1ContentionPerRAWSlot9TrafficInterval10000;54;10;16;1;10000;0;9;0,0,0,0,0,0;1,1,1,1,1,1;39.3,1.5,31,74,1,94;39.1,1.5,30.5,73.25,1,94;241.5,204,235,275.75,203,295;0.1,0,0,0,0,1;762.7,736.75,748,750.5,724,849;0,0,0,0,0,0;937286.2,936331.5,937681,938873.75,933884,939207;0,0,0,0,0,0;0,0,0,0,0,0;97.6,97,98,98,97,98
SensorMeasurementSize54NGroup16NRawSlotNum1ContentionPerRAWSlot14TrafficInterval10000;54;15;16;1;10000;0;14;0.0666666666666667,0,0,0,0,1;1,1,1,1,1,1;58.2,30.5,60,89,4,97;57.1333333333333,29,60,87.5,4,93;260.066666666667,232.5,264,291.5,205,294;0.0666666666666667,0,0,0,0,1;741,730,737,757,720,761;0,0,0,0,0,0;932328.4,931930,932442,932852,931428,932954;0,0,0,0,0,0;0,0,0,0,0,0;97.6,97,98,98,97,98
